mass,parallax,alpha_min_arcsec,spectral_type,distance_pc,Mercury_like_detectable,Earth_like_detectable,Super_Earth_detectable,Sub_Neptune_detectable,Neptune_like_detectable,Sub_Saturn_detectable,Saturn_like_detectable,Jupiter_like_detectable,Super_Jupiter_detectable,HZ_inner_au,HZ_outer_au
1.802355,17.90604963814855,0.0002585094466055,A,55.84704723868944,0,0,0,0,0,0,0,0,0,3.611803365545772,6.315684329169907
2.2784572,14.188767711261276,0.0003073013593803,A,70.47828397432461,0,0,0,0,0,0,0,0,0,4.541461853278251,7.696275267523685
1.75598,10.194857412796248,0.0001016893106195,A,98.0886695624436,0,0,0,0,0,0,0,0,1,3.344369690906872,5.849900227279897
1.7321156,12.037702095073271,0.0001501894436489,A,83.0723332494891,0,0,0,0,0,0,0,0,0,3.240123491829158,5.676031125011912
1.7638856,11.416689027357858,0.0001265118220588,A,87.59106931998375,0,0,0,0,0,0,0,0,0,3.4844208542930843,6.107923873827349
2.233214,22.729590080435017,0.0006399692383779,A,43.99551406167996,0,0,0,0,0,0,0,0,0,4.69856578396168,8.00232463524989
2.1269352,10.64597792051602,0.0001076883630865,A,93.93218804943088,0,0,0,0,0,0,0,0,0,3.385628724270753,5.7702688529112125
2.0241227,20.90535943011212,0.0005938794690577,A,47.83462362094564,0,0,0,0,0,0,0,0,0,4.3758643868180185,7.560508640379489
1.7556344,18.185862361192687,8.935919664055312e-05,A,54.98776907791448,0,0,0,0,0,0,0,0,1,3.1622964754934,5.512950935150579
1.9628915,10.62305687460938,9.398146142449164e-05,A,94.13486266746274,0,0,0,0,0,0,0,0,0,3.3546418928761885,5.767601317320003
2.3608148,10.23485151971758,0.0001020919073542,A,97.70537443298386,0,0,0,0,0,0,0,0,1,4.929439444874171,8.37091056907275
1.7599461,11.792438590609436,0.0001346665670285,A,84.80010239750757,0,0,0,0,0,0,0,0,0,3.5359532845202177,6.212014658886842
2.1831996,12.83701540259684,0.0001537545311166,A,77.8997273616815,0,0,0,0,0,0,0,0,0,4.03921056641856,6.907766441395862
1.8095675,12.814972456690189,0.0001017968636038,A,78.0337221464678,0,0,0,0,0,0,0,0,1,3.704132437924677,6.485957717253433
2.005174,13.209559178423508,0.0001394764929379,A,75.70275332377479,0,0,0,0,0,0,0,0,1,4.1509842443175815,7.162811574104891
2.0426712,10.943263901735484,0.0002063843799019,A,91.38041529286438,0,0,0,0,0,0,0,0,0,4.369304188194074,7.533424212199641
2.0618165,16.33682274122043,0.0003803133941182,A,61.21141276001234,0,0,0,0,0,0,0,0,0,4.410962529775576,7.596933639026159
2.1118195,10.684586311418936,0.0001247852842588,A,93.59276726804764,0,0,0,0,0,0,0,0,0,4.1580880983192365,7.113487653114199
1.8492891,10.228734132371814,8.969799178068958e-05,A,97.76380801952884,0,0,0,0,0,0,0,0,1,3.712867413891325,6.489927712893125
1.9707515,10.537215113095188,0.0001235427887292,A,94.90173535104584,0,0,0,0,0,0,0,0,0,3.9509354970972703,6.825073691586571
2.4254642,10.651113701393182,0.0001191929423549,A,93.8868955900075,0,0,0,0,0,0,0,0,0,4.572847334705867,7.760570409875493
2.153948,10.208912967598584,0.0001079392363303,A,97.95362181789932,0,0,0,0,0,0,0,0,1,4.609360731990953,7.922410921050592
1.6846784,10.117921202559662,0.0001096958444135,A,98.83453132121814,0,0,0,0,0,0,0,0,0,3.07504850769356,5.403400906438522
2.3066423,14.467593778872413,9.400638941332352e-05,A,69.11999433246037,0,0,0,0,0,0,0,0,1,3.644544238535133,6.388503663625891
2.2381492,11.579040377806258,0.0001890296312713,A,86.36294264218276,0,0,0,0,0,0,0,0,0,5.255285714225535,9.006979080154068
2.1057918,11.486660165341368,0.0001612255979041,A,87.05750719580737,0,0,0,0,0,0,0,0,0,3.832868008227961,6.5640397775494295
2.0757554,14.739937487557183,0.0002430340455788,A,67.84289287821991,0,0,0,0,0,0,0,0,0,4.357548559365579,7.487944785254407
2.318866,10.722063763303655,0.0001141535698586,A,93.2656270355813,0,0,0,0,0,0,0,0,0,4.617306657355631,7.8606033869802685
2.3658729,12.899708075341715,0.0001938901767559,A,77.52113413415441,0,0,0,0,0,0,0,0,0,5.258217537070471,8.936345971237575
1.8463619,10.07554959640198,9.188667962032696e-05,A,99.2501689790802,0,0,0,0,0,0,0,0,1,3.97028908278558,6.965024009617824
1.7440376,11.535546554655737,0.0001505759147474,A,86.68856696663418,0,0,0,0,0,0,0,0,0,3.254429439654152,5.68954269272762
2.2018263,16.745142987059477,0.0003748192446579,A,59.71880925548337,0,0,0,0,0,0,0,0,0,4.519050908945084,7.698099478326514
1.9169682,14.82952104599689,0.0001046804199349,A,67.43306118237325,0,0,0,0,0,0,0,0,1,3.668385032497349,6.366630082509078
2.2139034,10.043730479200663,0.0001018344437603,A,99.56459923639704,0,0,0,0,0,0,0,0,0,3.979797942670941,6.7521306232450575
