mass,parallax,alpha_min_arcsec,spectral_type,distance_pc,Mercury_like_detectable,Earth_like_detectable,Super_Earth_detectable,Sub_Neptune_detectable,Neptune_like_detectable,Sub_Saturn_detectable,Saturn_like_detectable,Jupiter_like_detectable,Super_Jupiter_detectable,HZ_inner_au,HZ_outer_au
1.3794879,18.923784450486263,0.0001153904112082,F,52.84355265282596,0,0,0,0,0,0,0,0,1,2.278261566150353,4.139276858498324
1.6335163,10.934742313887591,7.902866644412293e-05,F,91.45162924689656,0,0,0,0,0,0,0,0,1,3.126971214412636,5.568564144082651
1.2388059,11.406745697643329,8.511204186666089e-05,F,87.66742298871476,0,0,0,0,0,0,0,0,0,1.653977758500415,3.013290638061965
1.4015173,12.617806493054584,8.557909161019427e-05,F,79.25307782699359,0,0,0,0,0,0,0,0,1,2.189639774317246,3.9448297382526096
1.3137097,11.419317311519023,0.0001025406963018,F,87.57090925140233,0,0,0,0,0,0,0,0,0,1.9907261365259945,3.613026089658399
1.3376296,10.105799488267742,8.516245335040861e-05,F,98.95308146188168,0,0,0,0,0,0,0,0,0,2.0003422286906147,3.62137499830595
1.3569237,15.45446570409195,0.0001036737527201,F,64.70621625794708,0,0,0,0,0,0,0,0,1,2.1698401118958195,3.942077789626489
1.2397538,54.563099523190026,0.0003054714722409,F,18.3274045781616,0,0,0,0,0,0,0,0,1,1.6860519444810809,3.0717705990813338
1.3527728,13.298712737287616,8.659040043256942e-05,F,75.19524782245641,0,0,0,0,0,0,0,0,1,2.145958544448281,3.8880447761237487
1.3700213,12.023424147252616,8.461177036798842e-05,F,83.17098255479098,0,0,0,0,0,0,0,0,1,2.269319607755068,4.118718508400222
1.4115402,10.946636510952352,6.699418903239438e-05,F,91.35226140006364,0,0,0,0,0,0,0,0,1,2.1745299047440483,3.901410377240594
1.2757989,12.39621256132038,0.0001074536572936,F,80.66980096164833,0,0,0,0,0,0,0,0,0,1.8500986206142,3.3638722573629694
1.2821615,12.559885976934387,0.0001055470689352,F,79.61855719362825,0,0,0,0,0,0,0,0,0,1.8756610221191856,3.407191036561723
1.4653193,10.036571337283274,0.0001174416945349,F,99.63561921642084,0,0,0,0,0,0,0,0,0,2.512047687589049,4.527713282587311
1.4017954,10.308667129231006,0.000104517102768,F,97.00575132205252,0,0,0,0,0,0,0,0,0,2.179174040913685,3.9214728747020753
1.665453,15.95121818451675,0.0001952535163009,F,62.69113671648367,0,0,0,0,0,0,0,0,0,3.2053969882145554,5.686096889722148
1.303443,11.388067248346006,7.238904104660763e-05,F,87.81121310512451,0,0,0,0,0,0,0,0,1,1.9718355554517064,3.583965947249347
1.419654,12.032809134153752,6.864364254801356e-05,F,83.10611336480144,0,0,0,0,0,0,0,0,1,2.254377338393012,4.068401324209322
1.4184046,19.8569634915788,0.0001065329392059,F,50.36016712344227,0,0,0,0,0,0,0,0,1,2.3709543425431567,4.27812718669782
1.3208966,11.173420940652312,7.746375477714972e-05,F,89.49810495026595,0,0,0,0,0,0,0,0,1,1.9103487298289132,3.4584817644949823
1.378966,11.61986089712667,7.4425368903177e-05,F,86.05955001124647,0,0,0,0,0,0,0,0,1,2.263669980422031,4.107063265316087
1.3563018,18.60348680358077,0.0001939520288697,F,53.75336411707087,0,0,0,0,0,0,0,0,0,2.164930095928514,3.921406129106189
1.4149967,20.06341429851712,8.207627623427485e-05,F,49.84196533657333,0,0,0,0,0,0,0,0,1,2.33948657105732,4.225313606430448
1.3722227,11.103225060803446,8.5934048467866e-05,F,90.06392237604868,0,0,0,0,0,0,0,0,1,2.2348207766285597,4.049354323528165
1.3067138,10.677247393820007,9.572983115854132e-05,F,93.65709748177234,0,0,0,0,0,0,0,0,0,1.9546514657357668,3.54574274994814
1.5669106,11.905136607750723,9.81997753033282e-05,F,83.9973561789253,0,0,0,0,0,0,0,0,1,2.7398472725541985,4.871172662170146
1.3415834,10.878818375740163,9.510903207401251e-05,F,91.92174788302437,0,0,0,0,0,0,0,0,0,2.061000399010563,3.733469102748331
1.4856613,19.688260510237683,0.0001408328855651,F,50.79168875686152,0,0,0,0,0,0,0,0,1,2.5213717018128885,4.520789901437392
1.3112648,22.329481224178984,9.069319862488204e-05,F,44.78384383230418,0,0,0,0,0,0,0,0,1,1.9266545025514037,3.491113633206078
1.4368856,13.19865336599299,9.525575217230424e-05,F,75.76530516185473,0,0,0,0,0,0,0,0,1,2.43287681273142,4.4059256608663535
1.3337014,11.271206047346084,8.487529484421205e-05,F,88.72165017650971,0,0,0,0,0,0,0,0,1,2.052142766943939,3.717668449843178
1.4627379,11.512577984904423,9.652284964814794e-05,F,86.86151801197131,0,0,0,0,0,0,0,0,1,2.5238543472028194,4.551051255826367
1.4359633,11.136703709063331,0.000101833767851,F,89.7931763405158,0,0,0,0,0,0,0,0,0,2.3032834445421555,4.13582509637705
1.4913753,11.95721260847161,0.000178037085175,F,83.63153125599743,0,0,0,0,0,0,0,0,0,2.563788204351676,4.599154688755758
1.5771428,11.90271539633662,0.0001063504089874,F,84.01444264623657,0,0,0,0,0,0,0,0,1,2.8779111557406374,5.138169397660818
1.6151316,10.82749877721982,0.0001359743363014,F,92.35743365807798,0,0,0,0,0,0,0,0,0,3.060396288750296,5.446628287274453
1.3788823,11.492522119792584,0.0001203422048152,F,87.0131020481384,0,0,0,0,0,0,0,0,0,2.1377924728444744,3.857861904233809
1.3210386,10.090796364784696,9.932647903524951e-05,F,99.10020615318766,0,0,0,0,0,0,0,0,0,1.9725339956845096,3.572262684595685
1.2975105,11.994003258597711,0.000112764644559,F,83.37499819196445,0,0,0,0,0,0,0,0,0,1.9656476946286665,3.57241280932618
1.348013,10.806300842272496,0.0001386187746275,F,92.53860452303552,0,0,0,0,0,0,0,0,0,2.0640972801307327,3.732921277819513
1.3230674,12.946702608616892,0.0001078539041926,F,77.2397443758717,0,0,0,0,0,0,0,0,1,2.0341720555036544,3.6895730153720177
1.4079809,19.49051496396066,8.27512636108804e-05,F,51.30700763161315,0,0,0,0,0,0,0,0,1,2.3176157504138706,4.183598125793811
1.6449226,12.028287776916525,0.0001316251921002,F,83.13735242676012,0,0,0,0,0,0,0,0,0,3.0756033882601863,5.4530223362849775
1.3807255,31.685583728847387,0.0005126787225447,F,31.56009397073452,0,0,0,0,0,0,0,0,0,2.298588376841586,4.1826193452410845
1.241339,28.3444688474804,8.383095899675642e-05,F,35.280251867866355,0,0,0,0,0,0,0,0,1,1.7012587126057277,3.0990840056340034
1.3405205,14.625984908279834,7.462633147830146e-05,F,68.37146395754145,0,0,0,0,0,0,0,0,1,2.0602650596985286,3.7291042204831566
1.270879,10.99654948415328,6.060067646436565e-05,F,90.9376165169868,0,0,0,0,0,0,0,0,1,1.7151024243722273,3.1163087087168937
1.5283173,24.99015385366237,0.0001883502553067,F,40.01576004116707,0,0,0,0,0,0,0,0,1,2.6004667437677726,4.6361705668189215
1.3031415,10.240524728663203,7.932254765251054e-05,F,97.6512460539256,0,0,0,0,0,0,0,0,1,1.945063601132996,3.528240884076774
1.4305583,13.687011785816509,6.983750980261236e-05,F,73.06196674984044,0,0,0,0,0,0,0,0,1,2.381657814681205,4.304971749668166
1.3494182,14.199401243924862,8.806021937134114e-05,F,70.42550476752282,0,0,0,0,0,0,0,0,1,2.1565420303629046,3.91298375900908
1.3647557,17.424991031420557,0.0001471795947252,F,57.388838720020615,0,0,0,0,0,0,0,0,1,2.229378443409185,4.044345477582161
1.2499168,11.559199474749406,0.0001313510637054,F,86.5111811751721,0,0,0,0,0,0,0,0,0,1.8010116801337428,3.2811472692137755
1.5555649,10.883435020353811,8.375946568735244e-05,F,91.88275559415165,0,0,0,0,0,0,0,0,1,2.6904686123184525,4.789683815314434
1.3012202,14.412005025266833,9.20015199947252e-05,F,69.38659806507286,0,0,0,0,0,0,0,0,1,1.991320463736561,3.624616512256116
1.3133028,16.065831135303995,7.414573260247538e-05,F,62.24390083389721,0,0,0,0,0,0,0,0,1,2.0228109454437893,3.677039335383534
1.5685178,28.33020399503696,0.0002751891390535,F,35.29801621531513,0,0,0,0,0,0,0,0,1,2.8470003010534954,5.083919356309871
1.3177071,38.09408938610385,0.0002125927989141,F,26.250791556256097,0,0,0,0,0,0,0,0,1,2.0707425399702446,3.7625644334739454
