mass,parallax,alpha_min_arcsec,spectral_type,distance_pc,Mercury_like_detectable,Earth_like_detectable,Super_Earth_detectable,Sub_Neptune_detectable,Neptune_like_detectable,Sub_Saturn_detectable,Saturn_like_detectable,Jupiter_like_detectable,Super_Jupiter_detectable,HZ_inner_au,HZ_outer_au
0.91082865,11.68038141398297,5.3001054347148976e-05,G,85.61364261640182,0,0,0,0,0,0,0,0,1,0.8368769008530811,1.574016838965411
0.98227155,12.177845488187767,6.044869033327958e-05,G,82.11633174110948,0,0,0,0,0,0,0,0,1,1.1218757380659528,2.0869425751863897
1.036086,10.93018446172107,5.5592522101380086e-05,G,91.48976428550957,0,0,0,0,0,0,0,0,1,1.0590303932095844,1.9660329859845944
1.1260469,15.86297322077954,8.14127981430947e-05,G,63.03988452114766,0,0,0,0,0,0,0,0,1,1.8339367647342888,3.393501615928036
1.0030665,12.765216197090442,5.413110189536718e-05,G,78.33788198808013,0,0,0,0,0,0,0,0,1,0.9621347566959356,1.7926233940588905
0.97136194,11.809413818140936,5.533489484373296e-05,G,84.67820802958552,0,0,0,0,0,0,0,0,1,1.071594799708268,1.9964372243764044
0.9943793,12.814174984453038,5.852229125884625e-05,G,78.03857846589912,0,0,0,0,0,0,0,0,1,1.0782925056841273,2.0056538385502134
0.9851632,12.635634460134892,5.7466681006021325e-05,G,79.14125746158413,0,0,0,0,0,0,0,0,1,0.8447534099710514,1.5816169052866678
1.020571,26.69551928604774,6.12614114060132e-05,G,37.45946985652548,0,0,0,0,0,0,0,0,1,1.0878568762120795,2.0200197393102943
1.0515823,15.726063028453034,8.749483756464729e-05,G,63.58870609832279,0,0,0,0,0,0,0,0,1,1.1854146928475688,2.1936979186271444
0.95347387,14.349743349315776,8.056123307081877e-05,G,69.68765751811735,0,0,0,0,0,0,0,0,1,1.234691243379848,2.303423012619874
0.956467,15.818769777592385,6.597018377341183e-05,G,63.21604107397282,0,0,0,0,0,0,0,0,1,1.4016811076712823,2.626799720604889
0.89759237,11.970450826528596,6.309217427466836e-05,G,83.5390424714687,0,0,0,0,0,0,0,0,1,0.8885574088683361,1.670243544902143
0.98039067,11.85433499781846,4.865884657608371e-05,G,84.35732583768122,0,0,0,0,0,0,0,0,1,0.9545396252310512,1.780623966461364
