mass,parallax,alpha_min_arcsec,spectral_type,distance_pc,Mercury_like_detectable,Earth_like_detectable,Super_Earth_detectable,Sub_Neptune_detectable,Neptune_like_detectable,Sub_Saturn_detectable,Saturn_like_detectable,Jupiter_like_detectable,Super_Jupiter_detectable,HZ_inner_au,HZ_outer_au
0.57151634,13.871693521726618,5.656914528214524e-05,M,72.08925128238627,0,0,0,0,0,0,0,0,0,0.169891301909739,0.319865578595796
0.5059474,14.69776390697987,7.73393429363855e-05,M,68.03756042952267,0,0,0,0,0,0,0,0,0,0.1404728542546167,0.2641973451477235
0.5168926,10.844853432673768,8.798691114583996e-05,M,92.20963715260216,0,0,0,0,0,0,0,0,0,0.1367584279796578,0.2573094878756262
0.5491215,11.011226768755222,7.610689428653304e-05,M,90.81640229565868,0,0,0,0,0,0,0,0,0,0.1507262054573802,0.2837660923699851
0.6114043,44.07921738841064,6.058420717951994e-05,M,22.686428191053164,0,0,0,0,0,0,0,0,1,0.2392680138368035,0.458204004182256
0.5657257,16.639140722646257,7.082932700970037e-05,M,60.09925732757202,0,0,0,0,0,0,0,0,0,0.1832087779014555,0.3452784900260202
0.56703043,10.488538439647618,6.56565156997031e-05,M,95.34216857325994,0,0,0,0,0,0,0,0,0,0.1661931904073355,0.3154299996700244
0.57426214,10.058220089092792,5.198064114573237e-05,M,99.42116906791564,0,0,0,0,0,0,0,0,0,0.2259555365511208,0.425546467483537
0.52469116,13.2173333167663,6.388047721045044e-05,M,75.65822666600164,0,0,0,0,0,0,0,0,0,0.1404761110697025,0.2641495911211056
0.5059251,11.306768365536618,6.970225125144847e-05,M,88.44260072117787,0,0,0,0,0,0,0,0,0,0.129037539101469,0.2427942962473684
0.53972864,15.689025928335893,5.030461410801123e-05,M,63.73882002412295,0,0,0,0,0,0,0,0,0,0.1510907813460577,0.2858035433307249
0.5402936,15.499164315474284,5.380387712188277e-05,M,64.5196076153348,0,0,0,0,0,0,0,0,0,0.1478495832790987,0.2779646375971834
0.5310778,10.085355890826456,6.694291756039619e-05,M,99.15366505901795,0,0,0,0,0,0,0,0,0,0.1372411659881695,0.2599753706395639
0.61341137,11.799119002925934,6.885505930977755e-05,M,84.75209036810469,0,0,0,0,0,0,0,0,0,0.1833418319616523,0.3485371588091017
0.5631224,11.3450982157065,7.325184562328583e-05,M,88.14379399691485,0,0,0,0,0,0,0,0,0,0.1669049126174132,0.3164143010807204
0.5125203,12.575589758240554,8.441073431983207e-05,M,79.5191334342565,0,0,0,0,0,0,0,0,0,0.1329529107562048,0.2502180424330433
0.5084692,13.214373873585124,7.356045481788479e-05,M,75.67517080767256,0,0,0,0,0,0,0,0,0,0.1312604886832756,0.2469531137608763
0.64110655,11.916710195338048,7.849068700035735e-05,M,83.91577739225472,0,0,0,0,0,0,0,0,0,0.2694362675641117,0.5097693477495704
0.5438602,10.928587781748494,5.3202954207336135e-05,M,91.5031310513944,0,0,0,0,0,0,0,0,0,0.1495248674969597,0.2813073603781221
0.6644763,10.466221959141125,5.761398589539837e-05,M,95.5454608075273,0,0,0,0,0,0,0,0,0,0.2376898149492182,0.4471545050987341
0.5046495,10.322347860374478,5.7789039500575816e-05,M,96.87718467993209,0,0,0,0,0,0,0,0,0,0.1277406055718555,0.2403249873019584
0.5535351,18.224919046787186,5.359319002069044e-05,M,54.86992822479982,0,0,0,0,0,0,0,0,0,0.1673424220056855,0.3191338924200731
0.50627,10.08525978684173,5.512198241456742e-05,M,99.15460990947432,0,0,0,0,0,0,0,0,0,0.1324042038897135,0.2490641042761099
0.5480793,10.96539099338074,8.624767984271517e-05,M,91.19601850984156,0,0,0,0,0,0,0,0,0,0.1403067754005021,0.2642874903858561
0.54924446,10.27586103123798,6.218748697423191e-05,M,97.31544606919674,0,0,0,0,0,0,0,0,0,0.1490457399919851,0.2812113322660807
0.5463105,15.172609736185404,5.5251357221311806e-05,M,65.90823974171587,0,0,0,0,0,0,0,0,0,0.1518976829752656,0.2856667154752942
