mass,parallax,pmra_error,pmdec_error,ruwe,teff_gspphot,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,alpha_min,distance_pc,bp_rp,spectral_type,spectral_type_temp,confirm
0.7389754,17.357227526090668,0.014771828,0.012750222,1.0913686,4607.393,11.063625,9.755102,10.476051,58.54037556761839,57.61288768594185,1.3085229999999992,K,K,True
0.78450316,11.683016920966365,0.0118557075,0.010830673,0.85294855,4942.0435,11.2385845,10.083246,10.736196,48.17417878517875,85.594329509649,1.1553384999999992,K,K,True
0.57151634,13.871693521726618,0.013586576,0.0130754765,1.1127949,3680.9844,14.190215,11.947785,13.022152,56.569145282145236,72.08925128238627,2.2424300000000006,M,M,True
0.72579426,13.347969644972572,0.012430254,0.017906312,0.86708534,4498.827,11.975629,10.5838995,11.3446665,65.3936160149654,74.91776102267686,1.3917295000000003,K,K,True
1.3794879,18.923784450486263,0.026950868,0.027442472,0.9173535,6516.164,6.7945976,6.2197194,6.5836883,115.39041120828833,52.84355265282596,0.5748782000000006,F,F,True
0.5059474,14.69776390697987,0.01754484,0.018888507,1.2121009,3693.983,14.407656,12.282856,13.321909,77.3393429363855,68.03756042952267,2.1247999999999987,M,M,True
0.5168926,10.844853432673768,0.0215442,0.019900652,1.2001733,3689.2952,15.200397,12.950635,14.025388,87.98691114583997,92.20963715260216,2.2497620000000005,M,M,True
0.82183874,19.768218136442385,0.013804394,0.013747528,0.8069036,5172.401,9.4000435,8.389169,8.976486,58.44657713127587,50.58624875028652,1.0108745,K,K,True
0.91082865,11.68038141398297,0.012105032,0.012868245,0.92985594,5480.017,10.188868,9.2911825,9.824303,53.00105434714898,85.61364261640182,0.8976854999999997,G,G,True
0.77220476,10.839712998091866,0.011999983,0.011119379,0.78894114,4910.038,11.38939,10.251632,10.8990965,49.07913642387537,92.25336502691832,1.1377579999999998,K,K,True
0.98227155,12.177845488187767,0.015437643,0.012949289,0.8259709,5775.6577,9.403898,8.613962,9.093564,60.448690333279586,82.11633174110948,0.7899359999999991,G,G,True
1.6335163,10.934742313887591,0.018903768,0.018346535,0.87891394,7288.101,7.2086263,6.821703,7.075363,79.02866644412293,91.45162924689657,0.3869232999999994,F,F,True
1.036086,10.93018446172107,0.012528801,0.013653615,0.90676904,5833.4556,9.750574,8.989249,9.45577,55.59252210138009,91.48976428550957,0.7613250000000011,G,G,True
1.1260469,15.86297322077954,0.017752921,0.020525182,1.01029,5928.495,7.7345862,7.001319,7.4521523,81.4127981430947,63.03988452114766,0.7332672000000002,G,G,True
1.0030665,12.765216197090442,0.012979965,0.01253378,1.0796127,5731.394,9.648515,8.820505,9.317766,54.13110189536718,78.33788198808013,0.828009999999999,G,G,True
0.97136194,11.809413818140936,0.012983239,0.013101612,0.92977196,5733.191,9.5785675,8.777396,9.261592,55.33489484373297,84.67820802958552,0.8011715000000006,G,G,True
0.7229795,11.440854819384557,0.014544153,0.016232697,0.9433161,4583.1772,11.892964,10.561557,11.307236,65.38574420644734,87.40605625950889,1.3314069999999987,K,K,True
0.7417209,12.38658526283134,0.0141705945,0.012540353,0.81253004,4722.238,11.4874325,10.261448,10.949737,56.76791185724866,80.73250042533665,1.225984500000001,K,K,True
0.9943793,12.814174984453038,0.012542244,0.014940949,0.9065324,5778.6646,9.377789,8.592833,9.070312,58.52229125884625,78.03857846589912,0.7849559999999993,G,G,True
0.9851632,12.635634460134892,0.014461482,0.012561888,0.94777983,5598.795,9.975644,9.109693,9.627505,57.466681006021325,79.14125746158413,0.8659510000000008,G,G,True
0.76880276,15.883561798678445,0.014610442,0.01435134,1.0364053,4882.3984,10.5171175,9.404405,10.039909,61.43967591938189,62.95817101194536,1.1127124999999989,K,K,True
0.5491215,11.011226768755222,0.018156687,0.017717762,1.1793646,3681.6777,14.976643,12.695168,13.778871,76.10689428653305,90.81640229565868,2.2814749999999986,M,M,True
1.020571,26.69551928604774,0.014169015,0.0147049185,0.88357264,5826.763,7.753087,6.9923277,7.459463,61.26141140601321,37.45946985652548,0.7607593000000001,G,G,True
0.77416104,13.52096690906558,0.018210791,0.014929282,0.82856864,4883.0337,10.881294,9.723259,10.37783,70.64451379216113,73.95920770499903,1.158035,K,K,True
1.0515823,15.726063028453034,0.0193457,0.021825168,0.9269681,5925.586,8.702951,7.96864,8.418551,87.4948375646473,63.58870609832279,0.7343110000000008,G,G,True
0.95347387,14.349743349315776,0.017550752,0.020324731,0.8540019,5695.6494,8.851728,8.042265,8.533019,80.56123307081877,69.68765751811735,0.8094629999999992,G,G,True
1.802355,17.90604963814855,0.0626134,0.059201345,0.811829,8135.731,5.749547,5.552103,5.6881294,258.50944660557616,55.84704723868944,0.19744399999999995,A,A,True
0.78085476,12.40115303595388,0.015764534,0.012590524,1.0350655,4772.9956,11.470516,10.274515,10.948894,60.525832844212786,80.63766305445655,1.1960010000000008,K,K,True
0.956467,15.818769777592385,0.016956173,0.014001821,0.96500003,5573.9907,8.388516,7.5384464,8.048586,65.97018377341183,63.21604107397282,0.8500695999999994,G,G,True
0.7369017,17.392828206725323,0.011534447,0.009764537,0.896012,4641.893,10.854525,9.552196,10.273584,45.337697932091814,57.494962182937435,1.3023290000000003,K,K,True
0.89759237,11.970450826528596,0.017248074,0.012033093,0.8256033,5494.9927,10.000259,9.117698,9.643765,63.09217427466836,83.5390424714687,0.882560999999999,G,G,True
1.0903324,17.929947703923595,0.020750972,0.02171074,1.1971991,5193.756,7.9700866,6.8373156,7.4851656,90.09790026760588,55.77261108135696,1.132771,K,K,True
0.98039067,11.85433499781846,0.0101651745,0.012639033,0.99682516,5697.9946,9.83327,8.979199,9.491483,48.65884657608371,84.35732583768122,0.8540710000000011,G,G,True
0.7166758,12.1499791840862,0.015595813,0.015171506,0.8873787,4488.641,12.083296,10.712465,11.465668,65.27354591985213,82.30466775694397,1.3708310000000008,K,K,True
0.9660561,13.02106359432852,0.01002418,0.011543814,0.99942535,5722.094,9.413672,8.568648,9.07419,45.86604884935004,76.79864188940464,0.8450240000000004,G,G,True
1.0619295,12.60814441941414,0.019450312,0.017162072,0.87845,5896.782,9.520981,8.769115,9.232085,77.81813522614604,79.31381230533738,0.7518660000000015,G,G,True
0.8347887,12.899799362266348,0.015130809,0.013360352,0.74776113,4989.011,10.617066,9.544873,10.16069,60.555457879744125,77.52058554686786,1.0721929999999986,K,K,True
0.8094082,10.18915414647893,0.011262146,0.011825781,0.9321356,5140.123,11.037286,9.983441,10.590123,48.99148149492412,98.14357361013822,1.0538450000000008,K,K,True
0.7331398,19.784268864228117,0.013210466,0.013285364,1.0538574,4684.9204,10.46763,9.2571535,9.938996,56.20636776155233,50.54520876473213,1.2104765000000004,K,K,True
1.0037053,21.1583065656666,0.01127535,0.015227606,0.9849921,5825.49,8.15892,7.398429,7.8654118,56.842954875900176,47.262761643821314,0.760491,G,G,True
0.76276296,11.444001054068238,0.020656204,0.014752553,0.8416771,4682.29,11.778547,10.540996,11.235576,76.15017566208778,87.38202620529374,1.2375509999999998,K,K,True
0.78030926,11.452440096005516,0.019780912,0.013518342,0.8671567,4814.761,11.527463,10.35685,11.02215,71.87677267258438,87.31763638290401,1.1706129999999995,K,K,True
0.6114043,44.07921738841064,0.01506638,0.013447362,0.9383015,3483.8076,10.858457,8.827079,9.832511,60.58420717951994,22.686428191053164,2.031378,M,M,True
0.75470567,15.166466369478202,0.009066923,0.011322874,0.834736,4783.9346,10.834993,9.677326,10.334004,43.5172277927977,65.93493669774344,1.157667,K,K,True
1.0375533,10.075955234470388,0.011212191,0.013693819,1.0406406,5828.3433,10.255546,9.40691,9.916237,53.09524604356945,99.246173363191,0.8486360000000008,G,G,True
1.0287821,10.538336056627386,0.012435533,0.013784293,1.080006,5844.5303,9.814609,9.021269,9.502258,55.69419117408423,94.89164082702757,0.7933400000000006,G,G,True
0.7625022,29.77377608368313,0.016792817,0.023277007,1.3234744,4561.4976,9.0347395,7.7648063,8.813396,86.10667697142796,33.586603096273976,1.2699332000000005,K,K,True
1.0271938,19.02738792623865,0.021302257,0.020956444,0.940106,5854.8613,8.418181,7.6632843,8.126903,89.64724360387588,52.555821318017394,0.7548967000000006,G,G,True
0.77281946,13.99637250305867,0.0096043805,0.011897862,0.80955976,4750.389,11.16828,9.998361,10.661509,45.87187814596672,71.44708386272707,1.1699190000000002,K,K,True
0.82842463,11.266044567935571,0.014612086,0.015483759,0.89717084,5151.9175,10.891639,9.848435,10.455844,63.8697005658653,88.76229753662722,1.0432039999999994,K,K,True
0.8565571,11.977555113729457,0.0144374585,0.01452284,0.87169445,5366.434,10.082705,9.189583,9.716845,61.434337356590746,83.48949268066691,0.893122,G,G,True
0.7943323,25.68791511250101,0.01717333,0.014959291,0.9078263,5015.104,9.150189,8.093346,8.704765,68.32519926501662,38.92881129591364,1.0568429999999989,K,K,True
0.9722864,10.395158894931273,0.0132224215,0.013604626,0.93539435,5734.119,9.943762,9.092133,9.601593,56.914536897982785,96.19862573602455,0.8516289999999991,G,G,True
0.9609249,41.47406026717721,0.019534318,0.019654958,0.99267226,5691.311,6.9535413,6.1664534,6.649316,83.13340233240781,24.11145649974872,0.7870879000000004,G,G,True
0.89483905,11.710161598639717,0.01944829,0.017124126,0.9580316,5558.5283,9.705213,8.86696,9.3737955,77.73831151171078,85.39591803038505,0.8382529999999999,G,G,True
0.7317338,11.870064393783531,0.01786518,0.012329102,0.8609733,4519.73,12.143472,10.814083,11.547531,65.11944957560095,84.2455412898779,1.329388999999999,K,K,True
0.78603166,11.744996563912627,0.017899245,0.014078553,1.0523571,4852.6597,11.235538,10.063223,10.725214,68.31762316777792,85.14263878736024,1.1723149999999993,K,K,True
0.999145,12.373655367612074,0.016086191,0.015053432,0.86560285,5719.3555,9.812276,8.928444,9.455419,66.09343539871372,80.81686213901598,0.883832,G,G,True
0.79630715,11.01694398077676,0.013110613,0.0150904665,0.9723474,5026.976,11.163555,10.063488,10.696776,59.97076931147809,90.76927337970307,1.100067000000001,K,K,True
0.7760281,13.091491864427232,0.013377266,0.011999239,0.8023399,4937.3765,10.86115,9.776551,10.400085,53.91100852260968,76.38548840390325,1.0845990000000008,K,K,True
1.2388059,11.406745697643329,0.017700035,0.022172151,1.0292737,6421.6094,8.600608,8.001985,8.380535,85.11204186666089,87.66742298871476,0.5986229999999999,F,F,True
0.8164505,11.546933859629004,0.013428646,0.015247373,0.9357815,5162.9,10.705671,9.68924,10.278958,60.9532464365107,86.60307681299297,1.0164310000000008,K,K,True
0.98366016,10.384585566514788,0.014223708,0.012712899,0.9108238,5783.6533,9.708189,8.927698,9.401946,57.230979655088774,96.29657279964172,0.7804910000000014,G,G,True
0.7805954,10.43471868639432,0.01877899,0.017855592,1.1053134,4752.9194,11.6638775,10.432964,11.13461,77.73836684556137,95.83392040112071,1.2309134999999998,K,K,True
0.5657257,16.639140722646257,0.018649412,0.014478292,1.3213593,3669.0066,13.467744,11.448321,12.495111,70.82932700970038,60.09925732757202,2.0194229999999997,M,M,True
0.56703043,10.488538439647618,0.017000245,0.013782852,1.2310609,3585.0725,14.918732,12.579749,13.683757,65.6565156997031,95.34216857325994,2.3389830000000007,M,M,True
1.0213518,15.863724527898514,0.020382576,0.01859715,1.0088495,5672.6357,8.120498,7.3258424,7.8110685,82.77518065618754,63.03689894774485,0.7946555999999996,G,G,True
0.77235895,10.361080144339606,0.014546415,0.016526043,0.9268313,4863.8457,11.5863695,10.422252,11.08359,66.04827461266999,96.51503376762442,1.1641174999999997,K,K,True
0.8478299,10.618944036322963,0.016404899,0.014096948,1.208918,5043.243,11.332751,10.263119,10.880643,64.88915076524076,94.17132217473024,1.0696320000000004,K,K,True
0.57426214,10.058220089092792,0.011999242,0.012499559,1.0307297,3677.3953,14.047819,12.2424345,13.1659975,51.98064114573237,99.42116906791564,1.8053845000000006,M,M,True
0.7975704,18.86679084845654,0.011288387,0.014082012,0.9219453,4992.5376,9.990651,8.931789,9.543725,54.144036488511055,53.00318469803827,1.0588619999999995,K,K,True
1.0582739,15.82459684374981,0.016932677,0.014219381,0.90941983,5916.8516,8.766166,8.026064,8.479935,66.33368011565022,63.19276313159073,0.7401020000000003,G,G,True
0.52469116,13.2173333167663,0.01595358,0.014103053,1.104494,3696.4941,14.705787,12.4658,13.537394,63.88047721045045,75.65822666600164,2.239987000000001,M,M,True
1.0524793,11.623199871024909,0.015838135,0.01409643,1.0097436,5925.719,9.362081,8.62311,9.07649,63.6081970441556,86.03482785260081,0.7389709999999994,G,G,True
0.7165088,25.64331619611356,0.015391278,0.013816726,1.0355616,4505.149,10.198495,8.852013,9.592027,62.0494980035394,38.99651637690907,1.346482,K,K,True
0.8081181,11.55669501753006,0.01300301,0.014662643,0.94627535,4938.9487,11.260194,10.153453,10.787726,58.79321660914583,86.52992905697737,1.1067409999999995,K,K,True
1.151107,10.020290077151651,0.019267017,0.017861072,1.02147,5962.7607,8.649631,7.9358163,8.379651,78.8170193144048,99.79751008208918,0.7138146999999995,G,G,True
0.7755393,25.903498915502475,0.013793451,0.013876173,0.981074,4872.526,9.533633,8.417852,9.0583515,58.69639859938572,38.60482335849732,1.1157810000000001,K,K,True
1.0457131,12.95744679044639,0.01595202,0.01705081,0.9749791,5848.7256,9.391634,8.631716,9.097303,70.04836595973171,77.1756979729453,0.759917999999999,G,G,True
0.73941165,16.182827141908014,0.014820596,0.017411215,1.0937576,4695.2373,10.905251,9.63912,10.34248,68.59449148541718,61.793899868728154,1.2661309999999997,K,K,True
0.759474,27.298483174908405,0.014323498,0.016358199,0.9819254,4674.3413,9.738703,8.510954,9.205593,65.22867027095099,36.63207195772537,1.2277489999999993,K,K,True
0.8757711,14.77610495329464,0.015856445,0.012998053,0.90501076,5470.2725,9.356306,8.481383,9.005145,61.50923563546784,67.6768338585081,0.8749230000000008,G,G,True
0.5059251,11.306768365536618,0.017907167,0.014803919,1.0469602,3688.71,15.236896,12.984867,14.060844,69.70225125144847,88.44260072117787,2.2520290000000003,M,M,True
0.9740005,10.397832469270098,0.013213754,0.012817161,0.94212323,5740.737,9.909428,9.072406,9.577104,55.226317982026764,96.17389037142253,0.8370219999999993,G,G,True
0.8045256,11.873518564971118,0.009619105,0.014992138,1.304698,4758.6426,11.085552,9.827349,10.542967,53.4380243394965,84.22103309377631,1.258203,K,K,True
0.94717014,17.56601656430968,0.012313422,0.020425325,0.8294343,5679.0513,8.745263,7.932659,8.426547,71.54948192930108,56.92810298447413,0.8126039999999994,G,G,True
0.7755765,11.233700077787873,0.0127856,0.012337438,0.91829616,4827.6616,11.416247,10.217442,10.892071,53.30249050348958,89.01786526927812,1.1988050000000001,K,K,True
0.73449904,10.45894165028063,0.013339372,0.012133393,0.86127526,4609.6016,12.181702,10.871973,11.59509,54.09641983922316,95.61196853729157,1.309728999999999,K,K,True
0.7233779,11.790186380122655,0.016763246,0.014142377,1.0528485,4579.475,11.935561,10.593101,11.327911,65.79604238098068,84.81630126610406,1.342459999999999,K,K,True
0.53972864,15.689025928335893,0.012014633,0.011697063,1.1575142,3624.5825,14.199637,11.93664,13.017393,50.30461410801123,63.73882002412295,2.2629969999999986,M,M,True
0.5402936,15.499164315474284,0.013759824,0.011502958,1.174791,3698.7087,14.251641,11.99808,13.078479,53.80387712188277,64.5196076153348,2.2535609999999995,M,M,True
0.76149136,13.483488444491478,0.013839688,0.011795864,0.85338646,4767.3604,10.99181,9.825142,10.485842,54.55377478226928,74.16478340280986,1.1666679999999996,K,K,True
1.0097177,12.875230969583296,0.01175212,0.011322254,0.8883958,5854.7905,9.115885,8.360687,8.82312,48.95663224951492,77.66850958731693,0.755198,G,G,True
1.1151317,16.93053866283712,0.017846787,0.015958691,0.92273194,5965.1963,7.9867907,7.269597,7.713429,71.82401145794942,59.0648661518975,0.7171937000000002,G,G,True
0.9299588,21.015151310942773,0.034048405,0.03020942,0.9692979,5648.506,8.25417,7.4342937,7.9318376,136.5544816475235,47.58471567508016,0.8198763000000007,G,G,True
0.9654294,14.43370518657684,0.02015593,0.018195521,0.98642707,5736.9814,8.848416,8.028064,8.559306,81.46193275166671,69.28227971082485,0.8203519999999997,G,G,True
1.0700247,10.102864579203958,0.01595892,0.015149676,1.1595349,5910.7773,9.162374,8.386912,8.866708,66.01362203547374,98.98182759555446,0.7754619999999992,G,G,True
0.9728728,12.5564354283907,0.008871835,0.010494587,0.8492084,5700.6855,9.570227,8.768936,9.256174,41.226354593999034,79.64043662733711,0.8012909999999991,G,G,True
1.0340352,13.14735313380344,0.011162377,0.013998718,0.93982226,5901.6533,9.050799,8.304744,8.760694,53.71280008901861,76.06093711964567,0.7460550000000001,G,G,True
0.7877056,16.08691903241982,0.017193958,0.016210044,1.0178002,4862.807,10.6193495,9.513083,10.147995,70.8913214976932,62.16230702626831,1.1062665000000003,K,K,True
1.2437493,10.847515735332395,0.024698362,0.020540293,0.8904996,5851.9565,8.103342,7.341708,7.8057914,96.37019507129804,92.18700616794796,0.7616339999999999,G,G,True
0.7083523,25.469943063446056,0.015972247,0.014534365,0.8574101,4453.187,10.497904,9.141308,9.887641,64.78614019711395,39.261964485314444,1.3565959999999997,K,K,True
1.0672235,11.01756888534892,0.017460834,0.015694419,1.0912673,5665.008,8.718915,7.9265146,8.410369,70.43266007689937,90.76412504484473,0.7924004000000009,G,G,True
1.0742759,10.85069790952084,0.013087477,0.011080602,1.040503,5984.9463,9.1539755,8.439646,8.880822,51.444690242739306,92.15997056950224,0.7143294999999998,G,G,True
1.0182705,10.773556629211036,0.015233976,0.014848669,0.9068885,5763.596,9.993524,9.1600275,9.66393,63.820161097894704,92.81985832688119,0.8334965000000008,G,G,True
0.9825456,13.67518399607229,0.015491743,0.013221054,1.1250116,5594.1187,9.747304,8.917109,9.41877,61.09920891828865,73.12515870259693,0.8301949999999998,G,G,True
0.5310778,10.085355890826456,0.017558688,0.013770284,1.0623168,3607.7559,15.41317,13.083993,14.181378,66.9429175603962,99.15366505901795,2.3291769999999996,M,M,True
0.817033,20.78587157130255,0.011671941,0.010173301,0.9259663,5139.44,9.758596,8.686113,9.304925,46.449675343286714,48.1096015901793,1.072483,K,K,True
0.84126824,11.383919341855124,0.010879295,0.009330993,0.888648,5140.6504,10.881452,9.859938,10.454116,42.99812101205896,87.84320847419497,1.0215139999999998,K,K,True
1.4015173,12.617806493054584,0.022350706,0.01772567,1.0299984,6823.2275,7.7194552,7.210146,7.539815,85.57909161019428,79.25307782699359,0.5093091999999997,F,F,True
0.7383321,12.686710915849153,0.012796753,0.01074421,0.8950329,4633.5117,11.522858,10.278136,10.976231,50.1273819663862,78.82263627137023,1.2447219999999994,K,K,True
0.7525609,10.65154674708436,0.012531349,0.015384467,1.3013542,4808.5327,11.560476,10.405531,11.062499,59.526874550114,93.88307855605377,1.1549449999999997,K,K,True
1.0290314,11.861837322455994,0.0104563,0.01265797,0.9041138,5896.76,9.259703,8.519635,8.975563,49.25470259678866,84.30397187346942,0.7400680000000008,G,G,True
0.9261023,15.248940901409288,0.012599317,0.013707638,1.0018344,5574.315,9.388272,8.505032,9.031712,55.854983266041685,65.57832484665091,0.8832400000000007,G,G,True
0.99213886,49.36864188732185,0.017316885,0.018264573,0.9645562,5646.153,6.9437056,6.069208,6.5924373,75.5064381147726,20.255772931375812,0.8744976000000007,G,G,True
0.79261863,10.651232574186364,0.008716665,0.011581057,0.9261201,5023.2075,11.190234,10.105438,10.7269945,43.48459692391395,93.88584776784755,1.0847960000000008,K,K,True
1.0347482,15.967167458301954,0.010277898,0.011988673,0.9711889,5861.679,8.810319,8.048885,8.514869,47.37373964966242,62.62851583485215,0.7614339999999995,G,G,True
0.79786706,11.815365653221823,0.009620563,0.01243387,0.9467185,4966.3223,10.992081,9.908397,10.530868,47.1636215798238,84.63555249577225,1.0836839999999999,K,K,True
0.9754786,17.52839276410788,0.014760776,0.012845802,0.9211064,5688.5244,8.894033,8.086655,8.5775175,58.70311945977334,57.05029625121455,0.8073779999999999,G,G,True
0.7314382,21.08055660688072,0.01074379,0.012236203,1.0426563,4531.646,10.856807,9.504984,10.248583,48.85062115052152,47.43707761841539,1.3518229999999996,K,K,True
1.0101568,13.726552653087214,0.016568322,0.018759992,0.9537811,5744.6177,8.526198,7.730851,8.213988,75.08674545898052,72.85150359839925,0.7953470000000005,G,G,True
