,mass,distance_pc,Earth_like_detectability,Super_Earth_detectability,Sub_Neptune_detectability,Neptune_like_detectability
0,19202.949023999998,72.08925128238627,1,1,1,1
1,16999.83264,68.03756042952267,1,1,1,1
2,17367.591360000002,92.20963715260216,1,1,1,1
3,18450.4824,90.81640229565868,1,1,1,1
4,20543.18448,22.686428191053164,1,1,1,1
5,19008.38352,60.09925732757202,1,1,1,1
6,19052.222448,95.34216857325994,1,1,1,1
7,19295.207904,99.42116906791564,1,1,1,1
8,17629.622976000002,75.65822666600164,1,1,1,1
9,16999.08336,88.44260072117787,1,1,1,1
10,18134.882304,63.73882002412295,1,1,1,1
11,18153.864960000003,64.5196076153348,1,1,1,1
12,17844.21408,99.15366505901795,1,1,1,1
13,20610.622032,84.75209036810469,1,1,1,1
14,18920.912640000002,88.14379399691485,1,1,1,1
15,17220.682080000002,79.5191334342565,1,1,1,1
16,17084.56512,75.67517080767256,1,1,1,1
17,21541.180080000002,83.91577739225472,1,1,1,1
18,18273.70272,91.5031310513944,1,1,1,1
19,22326.40368,95.5454608075273,1,1,1,1
20,16956.2232,96.87718467993209,1,1,1,1
21,18598.779359999997,54.86992822479982,1,1,1,1
22,17010.672,99.15460990947432,1,1,1,1
23,18415.464480000002,91.19601850984156,1,1,1,1
24,18454.613856,97.31544606919674,1,1,1,1
25,18356.0328,65.90823974171587,1,1,1,1
26,19389.946464,65.85159384878419,1,1,1,1
27,16990.376256,91.80383011830322,1,1,1,1
28,20469.17712,92.01616233621448,1,1,1,1
29,18475.65888,90.8432287781531,1,1,1,1
30,17770.147584000002,88.53912246092767,1,1,1,1
31,18847.85952,90.65642500686926,1,1,1,1
32,18148.789343999997,71.78477677999973,1,1,1,1
33,21429.684864,90.06255695815523,1,1,1,1
34,18429.95952,93.8418624174576,1,1,1,1
35,20146.224,30.25338302117707,1,1,1,1
36,21858.15408,77.65340487209197,1,1,1,1
37,17933.178816,80.6929666246835,1,1,1,1
38,16999.885056,95.58034899236728,1,1,1,1
39,17550.09648,87.30501641242789,1,1,1,1
40,20126.88048,69.07478392608107,1,1,1,1
41,18731.878032,94.0668451232924,1,1,1,1
42,18570.032543999998,78.1913787680862,1,1,1,1
43,19238.75352,90.91014236288586,1,1,1,1
44,18742.755360000003,78.7838925655993,1,1,1,1
45,17428.73664,78.84076292851034,1,1,1,1
46,18651.64896,91.7159167368828,1,1,1,1
