,Unnamed: 0,mass,distance_pc,Earth_like_detectability,Super_Earth_detectability,Sub_Neptune_detectability,Neptune_like_detectability,Earth_like_DI,Super_Earth_DI,Sub_Neptune_DI,Neptune_like_DI
0,0,19202.949024,72.08925128238627,1,1,1,1,100.0,100.0,100.0,100.0
1,1,16999.83264,68.03756042952267,1,1,1,1,100.0,100.0,100.0,100.0
2,2,17367.591360000002,92.20963715260216,1,1,1,1,100.0,100.0,100.0,100.0
3,3,18450.4824,90.81640229565868,1,1,1,1,100.0,100.0,100.0,100.0
4,4,20543.18448,22.686428191053164,1,1,1,1,100.0,100.0,100.0,100.0
5,5,19008.38352,60.09925732757202,1,1,1,1,100.0,100.0,100.0,100.0
6,6,19052.222448,95.34216857325994,1,1,1,1,100.0,100.0,100.0,100.0
7,7,19295.207904,99.42116906791564,1,1,1,1,100.0,100.0,100.0,100.0
8,8,17629.622976000002,75.65822666600164,1,1,1,1,100.0,100.0,100.0,100.0
9,9,16999.08336,88.44260072117787,1,1,1,1,100.0,100.0,100.0,100.0
10,10,18134.882304,63.73882002412295,1,1,1,1,100.0,100.0,100.0,100.0
11,11,18153.864960000003,64.5196076153348,1,1,1,1,100.0,100.0,100.0,100.0
12,12,17844.21408,99.15366505901795,1,1,1,1,100.0,100.0,100.0,100.0
13,13,20610.622032,84.75209036810469,1,1,1,1,100.0,100.0,100.0,100.0
14,14,18920.91264,88.14379399691485,1,1,1,1,100.0,100.0,100.0,100.0
15,15,17220.682080000002,79.5191334342565,1,1,1,1,100.0,100.0,100.0,100.0
16,16,17084.56512,75.67517080767256,1,1,1,1,100.0,100.0,100.0,100.0
17,17,21541.18008,83.91577739225472,1,1,1,1,100.0,100.0,100.0,100.0
18,18,18273.70272,91.5031310513944,1,1,1,1,100.0,100.0,100.0,100.0
19,19,22326.40368,95.5454608075273,1,1,1,1,100.0,100.0,100.0,100.0
20,20,16956.2232,96.87718467993209,1,1,1,1,100.0,100.0,100.0,100.0
21,21,18598.77936,54.86992822479982,1,1,1,1,100.0,100.0,100.0,100.0
22,22,17010.672,99.15460990947432,1,1,1,1,100.0,100.0,100.0,100.0
23,23,18415.46448,91.19601850984156,1,1,1,1,100.0,100.0,100.0,100.0
24,24,18454.613856,97.31544606919674,1,1,1,1,100.0,100.0,100.0,100.0
25,25,18356.0328,65.90823974171587,1,1,1,1,100.0,100.0,100.0,100.0
26,26,19389.946464,65.85159384878419,1,1,1,1,100.0,100.0,100.0,100.0
27,27,16990.376256,91.80383011830322,1,1,1,1,100.0,100.0,100.0,100.0
28,28,20469.17712,92.01616233621448,1,1,1,1,100.0,100.0,100.0,100.0
29,29,18475.65888,90.8432287781531,1,1,1,1,100.0,100.0,100.0,100.0
30,30,17770.147584000002,88.53912246092767,1,1,1,1,100.0,100.0,100.0,100.0
31,31,18847.85952,90.65642500686926,1,1,1,1,100.0,100.0,100.0,100.0
32,32,18148.789344,71.78477677999973,1,1,1,1,100.0,100.0,100.0,100.0
33,33,21429.684864,90.06255695815523,1,1,1,1,100.0,100.0,100.0,100.0
34,34,18429.95952,93.8418624174576,1,1,1,1,100.0,100.0,100.0,100.0
35,35,20146.224,30.25338302117707,1,1,1,1,100.0,100.0,100.0,100.0
36,36,21858.15408,77.65340487209197,1,1,1,1,100.0,100.0,100.0,100.0
37,37,17933.178816,80.6929666246835,1,1,1,1,100.0,100.0,100.0,100.0
38,38,16999.885056,95.58034899236728,1,1,1,1,100.0,100.0,100.0,100.0
39,39,17550.09648,87.30501641242789,1,1,1,1,100.0,100.0,100.0,100.0
40,40,20126.88048,69.07478392608107,1,1,1,1,100.0,100.0,100.0,100.0
41,41,18731.878032,94.0668451232924,1,1,1,1,100.0,100.0,100.0,100.0
42,42,18570.032544,78.1913787680862,1,1,1,1,100.0,100.0,100.0,100.0
43,43,19238.75352,90.91014236288586,1,1,1,1,100.0,100.0,100.0,100.0
44,44,18742.755360000003,78.7838925655993,1,1,1,1,100.0,100.0,100.0,100.0
45,45,17428.73664,78.84076292851034,1,1,1,1,100.0,100.0,100.0,100.0
46,46,18651.64896,91.7159167368828,1,1,1,1,100.0,100.0,100.0,100.0
47,47,18731.496,31.179663735267816,1,1,1,1,100.0,100.0,100.0,100.0
48,48,17394.7704,98.48659422559638,1,1,1,1,100.0,100.0,100.0,100.0
49,49,18861.321696,81.14357943561325,1,1,1,1,100.0,100.0,100.0,100.0
50,50,18185.139840000003,85.95162578154428,1,1,1,1,100.0,100.0,100.0,100.0
51,51,20143.067952,79.34007109307001,1,1,1,1,100.0,100.0,100.0,100.0
52,52,18161.976,87.70944506779318,1,1,1,1,100.0,100.0,100.0,100.0
